,FeatureTyp,SegmentTyp,TrafDir,SegmentID,XFrom,YFrom,XTo,YTo,SegmentID_,SpatialJoi,D_Busstop,D_Subway,NodeIDFrom,NodeIDTo,X,Y,SVIID,ID,SegDir1,SegDir2,StreetWidt,Length,Commercial,CulturalFa,EducationF,Government,HealthServ,Miscellane,PublicSafe,Recreation,ReligiousI,Residentia,SocialServ,Transporta,Water,Avg_B01001,Avg_B010_1,Avg_B010_2,Avg_B010_3,Avg_B02001,Avg_B020_1,Avg_B020_2,Avg_B08006,Avg_B080_1,Avg_B080_2,Avg_B08013,Avg_B08124,Avg_B15003,Avg_B19001,Avg_B19013,Avg_B23013,Avg_B24011,Avg_B240_1,Avg_B240_2,Avg_B240_3,Avg_B240_4,Avg_B240_5,Avg_B240_6,Avg_B240_7,Avg_B240_8,Avg_B240_9,Avg_B24_10,Avg_B24_11,Avg_B24_12,Avg_B24_13,Avg_B24_14,Avg_B24_15,Avg_B24_16,Avg_B24_17,Avg_B24_18,Avg_B24_20,Avg_B24_21,Avg_B24_22,Avg_B24_23,Avg_B24_24,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Masks
295,0,U,T,69643,1003918,235242,1003851,235308,69643,6301,0.151023,0.0958768,42758,42756,-73.9291,40.8124,218,295,WB,NB,60.0,0.0287154,11.0,82.0,20.0,29.0,6.0,0.0,2.0,4.0,21.0,57.0,7.0,6.0,5.0,11128.612317575,4518.15195096,6610.460366622499,7928.92812294,1031.461030755,3556.238625035,57.7931631675,3366.6966407475,249.2942377275,66.119296845,133734.8488855,0.0,419.73509181250006,4052.3782376425,36264.720114575,70.5272499625,40100.12910405,0.0,0.0,0.0,0.0,72687.146996425,0.0,46459.33614265,0.0,0.0,0.0,26291.9710603,24400.9591706,66350.95926855,39447.2622693,54647.3539547,28315.2215437,35390.965851075,67405.439610075,11079.635060664998,0.0,0.0,25729.2223783025,11398.9667758,216.6,152.6,116.2,97.3,118.1,166.2,363.5,736.6,821.3,776.8,663.9,645.5,641.8,660.0,722.0,825.1,954.7,968.2,845.6,716.4,567.3,405.3,317.5,270.8,Train
303,0,U,T,69574,1003890,233799,1003754,233553,69574,6388,0.30253,0.338697,42722,42721,-73.9293,40.808,223,303,WB,SB,68.0,0.0856805,2.0,101.0,19.0,32.0,7.0,1.0,3.0,10.0,17.0,58.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,59.8,58.4,43.4,96.2,263.6,521.8,549.0,454.8,385.6,354.6,400.8,411.0,393.6,420.2,381.8,342.4,355.6,319.0,277.0,252.0,236.4,225.0,161.4,Train
307,0,U,T,71268,1004161,245780,1003990,245248,71268,6391,0.253075,0.774076,43786,43684,-73.9284,40.8406,225,307,WB,SB,38.0,0.170833,6.0,49.0,23.0,15.0,4.0,2.0,0.0,13.0,13.0,55.0,7.0,5.0,4.0,15526.693990524998,6864.675928392499,8662.018062135001,10330.7251468275,2010.2553183925,5540.178492217501,70.0839232775,5800.9971434125,758.5032203125,175.653377335,228132.04165975,0.0,961.6578839975,4634.410319195,115722.751548,139.7242774275,134427.1748195,0.0,0.0,0.0,0.0,111169.0708115,0.0,239989.53176825,0.0,0.0,175255.05225224997,95802.9488476,0.0,0.0,81673.49763135001,55093.947942750005,66699.490782625,53855.5029187,137859.5127835,99268.1109279,0.0,83477.04973292499,92590.6211742,0.0,26.5,21.75,14.75,10.0,15.25,21.0,42.25,59.0,55.75,54.5,54.75,57.25,56.0,49.6,61.8,81.4,76.75,85.0,73.25,63.0,53.75,41.75,40.5,32.25,Train
348,0,U,T,116336,1004146,235018,1004376,234784,116336,7143,0.0112415,0.118375,42842,68566,-73.9277,40.8114,253,348,EB,SB,60.0,0.100188,3.0,114.0,32.0,20.0,8.0,5.0,0.0,12.0,15.0,28.0,3.0,9.0,17.0,11128.612317575,4518.15195096,6610.460366622499,7928.92812294,1031.461030755,3556.238625035,57.7931631675,3366.6966407475,249.2942377275,66.119296845,133734.8488855,0.0,419.73509181250006,4052.3782376425,36264.720114575,70.5272499625,40100.12910405,0.0,0.0,0.0,0.0,72687.146996425,0.0,46459.33614265,0.0,0.0,0.0,26291.9710603,24400.9591706,66350.95926855,39447.2622693,54647.3539547,28315.2215437,35390.965851075,67405.439610075,11079.635060664998,0.0,0.0,25729.2223783025,11398.9667758,182.3,140.6,108.6,103.5,146.1,205.9,343.8,523.3,567.2,528.7,443.3,437.5,441.1,441.0,485.4,517.2,524.5,529.0,473.0,439.5,398.2,354.3,317.9,257.8,Train
349,0,U,T,116336,1004376,234784,1004146,235018,116336,7143,0.0112415,0.118375,68566,42842,-73.9277,40.8114,253,349,WB,NB,60.0,0.100188,3.0,114.0,32.0,20.0,8.0,5.0,0.0,12.0,15.0,28.0,3.0,9.0,17.0,11128.612317575,4518.15195096,6610.460366622499,7928.92812294,1031.461030755,3556.238625035,57.7931631675,3366.6966407475,249.2942377275,66.119296845,133734.8488855,0.0,419.73509181250006,4052.3782376425,36264.720114575,70.5272499625,40100.12910405,0.0,0.0,0.0,0.0,72687.146996425,0.0,46459.33614265,0.0,0.0,0.0,26291.9710603,24400.9591706,66350.95926855,39447.2622693,54647.3539547,28315.2215437,35390.965851075,67405.439610075,11079.635060664998,0.0,0.0,25729.2223783025,11398.9667758,162.6,112.2,85.6,80.7,93.7,183.3,423.8,688.2,683.5,588.5,548.5,527.0,538.4,565.8,627.6,736.2,802.2,769.0,664.9,532.8,407.8,294.2,245.7,219.4,Train
549,0,U,T,72860,1007852,252505,1007442,252167,72860,10719,0.33876,0.638362,44618,44616,-73.9155,40.8594,413,549,WB,SB,30.0,0.168142,36.0,29.0,19.0,11.0,3.0,1.0,1.0,3.0,12.0,32.0,1.0,4.0,4.0,11026.120460075,6062.6664400225,4963.454020057499,8820.6130658975,1174.2874950425,2323.0777947775,21.2476627575,6891.325287555001,773.414924355,82.15762932749999,315655.27791925,0.0,1160.1223865375,3896.8213496525,226500.08499075,189.954105045,138180.6334635,158744.12147975,0.0,0.0,0.0,57714.31809175,0.0,325304.54983275,0.0,0.0,40893.25174225,124701.116210625,12827.922261875,0.0,115481.047084975,202263.584339,117887.6990198,98242.11003465,184946.739192,253745.2546885,0.0,81449.37390225,73130.20567735,171512.55028625,111.4,78.2,57.8,37.2,48.0,50.8,102.6,160.6,159.0,160.2,158.0,157.2,162.6,170.2,198.0,195.0,214.4,212.2,214.2,195.0,179.2,167.4,158.4,156.6,Train
559,0,U,T,173441,1003607,237840,1003693,238130,173441,11108,0.531943,0.260605,101119,42788,-73.9299,40.8199,421,559,EB,NB,40.0,0.0922322,11.0,68.0,20.0,30.0,14.0,1.0,1.0,7.0,15.0,47.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,36.6,21.4,20.4,21.6,48.2,115.6,279.8,390.8,338.4,301.8,334.2,383.2,398.2,451.0,507.8,576.6,564.8,478.0,358.6,256.6,191.0,142.4,125.8,Train
560,0,U,T,173441,1003693,238130,1003607,237840,173441,11108,0.531943,0.260605,42788,101119,-73.9299,40.8199,421,560,WB,SB,40.0,0.0922322,11.0,68.0,20.0,30.0,14.0,1.0,1.0,7.0,15.0,47.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.9,36.7,25.3,20.1,22.7,47.0,146.7,321.4,291.7,238.0,226.5,254.6,270.0,267.9,285.2,298.4,318.6,323.7,285.3,265.7,219.1,178.1,128.0,85.4,Train
568,0,U,T,72975,1008700,252744,1008237,252472,72975,11302,0.135395,0.687184,44693,44690,-73.9125,40.8601,425,568,WB,SB,38.0,0.165202,40.0,21.0,15.0,7.0,3.0,0.0,0.0,4.0,10.0,30.0,2.0,2.0,2.0,17033.118517882504,9038.5106988725,7994.6078190025,14219.001757975,2331.0225669375,3027.746758625,7.0825542525000005,8195.449026725,870.5682406174999,312.5184606225,349723.32313750003,0.0,1276.6966894075,5807.692092984999,135298.3106164175,137.39320723,103053.1248438325,52914.707159915,0.0,0.0,0.0,19238.1060305825,0.0,200816.818891,0.0,0.0,13631.0839140825,68703.5564625325,4275.9740872925,0.0,76181.09402988499,112324.8822308325,71213.4533641825,96391.730118635,97739.1869296575,97244.70211675,76436.287445335,47357.14248326,80500.90873670249,80980.1621203675,29.8,20.0,15.6,10.4,14.0,17.8,44.2,65.8,79.4,76.6,76.0,113.4,100.0,105.0,124.8,159.2,168.4,165.0,150.0,125.8,86.8,73.0,55.4,49.8,Train
698,0,U,A,173421,1003850,236028,1003517,235593,173421,12933,0.313492,0.0420101,79357,79569,-73.9298,40.8139,524,698,WB,SB,30.0,0.16688,10.0,97.0,20.0,28.0,8.0,1.0,1.0,9.0,14.0,53.0,3.0,6.0,6.0,5564.3061587875,2259.0759754825,3305.2301833125,3964.46406147,515.7305153750001,1778.1193125175,28.8965815825,1683.3483203750002,124.647118865,33.05964842,66867.42444275,0.0,209.8675459075,2026.18911882,18132.3600572875,35.2636249825,20050.064552025,0.0,0.0,0.0,0.0,36343.5734982125,0.0,23229.668071325,0.0,0.0,0.0,13145.98553015,12200.4795853,33175.479634275,19723.63113465,27323.67697735,14157.61077185,17695.4829255375,33702.7198050375,5539.817530332499,0.0,0.0,12864.61118915,5699.4833879,90.8,81.8,63.9,54.1,67.5,140.2,254.6,363.2,340.9,259.0,224.0,214.3,237.3,251.0,272.6,309.7,317.0,315.0,269.9,227.8,193.0,170.1,173.3,124.3,Train
